symbol,entry_date,entry_price,exit_date,exit_price,return_pct,days_held,exit_reason,pnl,patch1_capped,YM
MAPMYINDIA,2024-04-04,1898.0,2024-04-15,1768.0642857142857,-7.311116191385661,11,SL,-2914.0646915624966,True,2024-04
ADANIPORTS,2024-04-09,1356.15,2024-04-19,1280.0,-6.086494856763637,10,GAP_DOWN_SL,-1981.0080000000016,True,2024-04
HINDALCO,2024-04-04,590.0,2024-04-25,643.5,8.523139300847458,21,TP,4274.354359375,True,2024-04
TRENT,2024-04-08,3932.6,2024-04-25,4337.8,9.752787246351042,17,TP,3451.8430012500103,True,2024-04
CGPOWER,2024-03-20,482.1,2024-04-26,563.6857142857143,16.339101586807743,37,TP,9137.413815000014,True,2024-03
COROMANDEL,2024-03-15,1090.25,2024-05-02,1214.307142857143,10.82258166131624,48,TP,7669.55777656252,True,2024-03
UTKARSHBNK,2024-04-29,61.7,2024-05-02,56.37857142857143,-9.080987135332244,3,SL,-4314.286178124996,True,2024-04
PRESTIGE,2024-04-23,1251.95,2024-05-06,1482.0,17.784197651663423,13,GAP_UP_TP,6902.127137500007,True,2024-04
CENTURYTEX,2024-04-30,2006.5,2024-05-07,1828.3642857142856,-9.332973258783946,7,SL,-3558.0560603124977,True,2024-04
ELGIEQUIP,2024-05-07,666.5,2024-05-09,624.8142857142857,-6.722562734433611,2,SL,-2464.323434375001,True,2024-05
INDOCO,2024-05-07,337.0,2024-05-10,319.4142857142857,-5.691628894658744,3,SL,-2340.056303749996,True,2024-05
THERMAX,2024-04-02,4302.25,2024-05-15,5015.921428571429,16.00611705357663,43,TP,8263.478051250007,True,2024-04
M&M,2024-04-30,2073.05,2024-05-15,2295.8785714285714,10.195775683775109,15,TP,4227.270556249998,True,2024-04
POKARNA,2024-04-09,466.0,2024-05-21,535.1,14.254902226394863,42,TP,4251.382040000004,True,2024-04
ADANIENT,2024-05-14,2894.95,2024-05-23,3222.8642857142854,10.77117418910516,9,TP,3741.841286249997,True,2024-05
JYOTICNC,2024-04-24,824.0,2024-05-29,986.5285714285715,19.126467763956335,35,TP,6619.287963750008,True,2024-04
PRINCEPIPE,2024-05-14,643.35,2024-05-29,610.75,-5.541296776637891,15,SL,-1853.7965062499934,True,2024-05
MARKSANS,2024-04-17,159.0,2024-05-30,145.57857142857142,-8.898372051886792,43,SL,-3919.1100028125,True,2024-04
ANGELONE,2024-05-16,2702.0,2024-05-30,2474.885714285714,-8.86281444300518,14,SL,-3113.152201249999,True,2024-05
DMART,2024-05-06,4620.0,2024-05-31,4361.728571428572,-6.061749147727255,25,SL,-3080.580916874991,True,2024-05
IPCALAB,2024-05-15,1295.0,2024-05-31,1222.392857142857,-6.078105574324312,16,SL,-2440.055482812495,True,2024-05
AKG,2024-05-29,22.2,2024-06-03,19.635714285714286,-11.992529560810796,5,SL,-4829.487594374994,True,2024-05
JUBLPHARMA,2024-05-07,684.9,2024-06-04,632.8857142857142,-8.05588534822603,28,SL,-3972.5826300000044,True,2024-05
OFSS,2024-05-07,7725.0,2024-06-04,7214.407142857142,-7.0759845024271835,28,SL,-2733.0990140625,True,2024-05
KPRMILL,2024-05-28,803.3,2024-06-04,747.7071428571428,-7.385375287874986,7,SL,-2669.7023859374895,True,2024-05
GILLETTE,2024-06-03,7200.15,2024-06-04,6802.407142857142,-5.995880333222225,1,SL,-2590.2742668749997,True,2024-06
COLPAL,2024-04-18,2702.0,2024-06-05,3005.9714285714285,10.694313795336779,48,TP,4045.4450224999964,True,2024-04
JYOTICNC,2024-06-03,1047.8,2024-06-05,920.5,-12.587969734204993,2,GAP_DOWN_SL,-5275.869874999997,True,2024-06
INDUSINDBK,2024-06-04,1509.95,2024-06-05,1400.5,-7.711761771912971,1,GAP_DOWN_SL,-4075.5311406249966,True,2024-06
CERA,2024-06-04,7159.9,2024-06-05,6864.164285714285,-4.609193350291197,1,SL,-1980.0818081249963,True,2024-06
INFRABEES,2024-06-04,950.0,2024-06-05,906.2328571428571,-5.083436124999989,1,SL,-2221.461586624995,True,2024-06
NATCOPHARM,2024-06-06,1023.8,2024-06-11,1162.8,13.009695985544067,5,TP,7059.243177500008,True,2024-06
M&M,2024-05-24,2589.8,2024-06-14,2889.3714285714286,11.010218163564742,21,TP,4277.139449999995,True,2024-05
PRAJIND,2024-06-10,594.0,2024-06-14,706.7285714285714,18.383728219696984,4,TP,6551.960737500005,True,2024-06
PHOENIXLTD,2024-05-31,3100.0,2024-06-18,3670.385714285714,17.808281471774198,18,TP,8280.850884375002,True,2024-05
JUNIORBEES,2024-04-16,674.15,2024-06-21,785.75,15.972136903878981,66,GAP_UP_TP,7752.683587500011,True,2024-04
SHARDAMOTR,2024-06-17,1761.95,2024-06-26,2058.364285714286,16.239696305939468,9,TP,3147.488619687505,True,2024-06
WESTLIFE,2024-04-02,795.6,2024-06-27,902.0,12.807395361990942,86,TP,6419.425162499996,True,2024-04
MANAPPURAM,2024-06-07,178.5,2024-06-27,206.0142857142857,14.8378161764706,20,TP,6541.918963125005,True,2024-06
POWERINDIA,2024-06-17,10830.85,2024-07-01,13324.092857142858,22.405496045439666,14,TP,2426.705668437502,True,2024-06
THEJO,2024-06-20,2922.45,2024-07-03,3593.9071428571424,22.361719415644394,13,TP,5228.080552499996,True,2024-06
WELCORP,2024-06-25,518.0,2024-07-03,596.2571428571429,14.5327381756757,8,TP,2935.903766250005,True,2024-06
OMAXE,2024-06-28,107.41,2024-07-03,129.25857142857143,19.74032812354533,5,TP,4070.9925960000073,True,2024-06
TIINDIA,2024-02-07,3600.0,2024-07-04,4416.5142857142855,22.068314375,148,TP,12711.34908,True,2024-02
INFY,2024-06-10,1525.3,2024-07-04,1656.3857142857144,8.051802145479614,24,TP,3193.167591250014,True,2024-06
